route_id,total_stops,planned_distance,actual_distance,deviation_count,sla_violation_count,route_start_time,route_end_time,distance_deviation,distance_efficiency_ratio,route_duration,sla_violation_rate,deviation_rate,driver_id,week_id,country,is_inefficient_route,has_sla_violation,high_deviation_route,positive_deviation_route,distance_efficiency_bucket,sla_risk_level,distance_loss_per_stop
97,7,17.734755797,18.263922184,4,0,208.925,381.79,0.5291663870000001,1.0298378163791526,172.865,0.0,0.5714285714285714,4,0,1,0,0,1,0,slightly inefficient,none,0.07559519814285716
98,7,34.550517451000005,34.727527128,4,0,211.557,467.987,0.17700967699999381,1.0051232134873531,256.43000000000006,0.0,0.5714285714285714,94,0,1,0,0,1,0,slightly inefficient,none,0.02528709671428483
99,12,19.949921264,20.143216833,8,0,217.169,442.504,0.193295569,1.009689039191789,225.335,0.0,0.6666666666666666,6,0,1,0,0,1,0,slightly inefficient,none,0.016107964083333332
100,5,20.292900957,20.946977386,4,0,222.462,368.421,0.6540764289999998,1.0322317854103742,145.959,0.0,0.8,5,0,1,0,0,1,0,slightly inefficient,none,0.13081528579999996
101,8,23.717393238,24.018304091,6,0,229.703,451.466,0.3009108530000013,1.0126873493212518,221.763,0.0,0.75,10,0,1,0,0,1,0,slightly inefficient,none,0.037613856625000164
102,11,49.363388379999996,33.559429824,10,0,237.174,435.15,-15.803958555999998,0.6798445350967214,197.97599999999997,0.0,0.9090909090909091,9,0,1,0,0,1,1,efficient,none,-1.4367235050909088
103,6,17.941223481999998,17.940750939,2,0,241.547,388.653,-0.0004725429999972164,0.9999736616067197,147.10600000000002,0.0,0.3333333333333333,3,0,1,0,0,0,1,efficient,none,-7.875716666620274e-05
104,5,21.393772396,16.058253146,4,0,247.192,420.932,-5.335519250000001,0.7506040939746753,173.74,0.0,0.8,95,0,1,0,0,1,1,efficient,none,-1.06710385
105,10,10.344836931,4.580807944,8,0,261.755,492.089,-5.764028987,0.4428110345821748,230.334,0.0,0.8,7,0,1,0,0,1,1,efficient,none,-0.5764028986999999
106,12,82.730196561,78.987019535,9,0,41.213,347.21,-3.743177025999998,0.9547544042973473,305.99699999999996,0.0,0.75,12,0,1,0,0,1,1,efficient,none,-0.31193141883333314
